date,ticker,open,close,change_pct,volume
2024-12-27,GTI,23.082,60.6,162.54224070704444,6649182
2024-12-26,PDYNW,0.3302,0.8,142.27740763173836,1749203
2024-12-24,BAOS,2.98,7.1,138.25503355704697,58744815
2024-12-24,HOUR,2.1,4.4,109.52380952380953,97521350
2024-12-24,GTI,13.11,36.6,179.17620137299775,4424664
2024-12-23,SLGL,4.06,16.5,306.40394088669956,1837617
2024-12-23,CHEK,0.5988,2.25,275.75150300601206,40093341
2024-12-23,DRCT,0.6,5.5,816.6666666666667,68542173
2024-12-19,NVNI,5.595,26.7,377.2117962466488,2063649
2024-12-19,PRFX,5.36,11.16,108.2089552238806,95400594
2024-12-18,NUKK,18.29,50.79,177.69272826681248,54523418
2024-12-18,QMCO,22.48,60.02,166.9928825622776,22657216
2024-12-17,NUKK,2.23,11.88,432.73542600896866,174400354
2024-12-17,NUKKW,0.015,0.1455,870.0000000000001,7203095
2024-12-16,SIDU,2.24,4.58,104.4642857142857,296899556
2024-12-13,IPHA,1.5,3.02,101.33333333333334,13593143
2024-12-13,WKEY,3.3,7.84,137.57575757575756,75525477
2024-12-09,ZVZZT,10.05,40.0,298.0099502487562,566338
2024-12-09,HUIZ,2.67,6.06,126.96629213483146,4953615
2024-12-06,ZVZZT,13.31,63.26,375.28174305033804,64596
2024-12-06,TNMG,152.4,339.998,123.09580052493436,7231
2024-12-05,ORIS,198.6,1120.2,464.0483383685801,325323
2024-12-05,ZSPC,5.8,22.0,279.3103448275862,2651339
2024-12-04,SMX,13907.849,28529.033,105.12901024450294,11589
2024-12-04,BLUE,7.2,14.726,104.52777777777777,3961480
2024-12-03,PSQH.WS,0.63,1.42,125.39682539682538,4274900
2024-11-26,PGHL,20.0,107.36,436.8,2932177
2024-11-26,IMG,14.0,32.0,128.57142857142858,5725566
2024-11-25,ZENA,1.89,6.42,239.68253968253973,116400450
2024-11-22,FLDDW,0.36,0.76,111.11111111111111,1662893
2024-11-22,QMCO,4.45,9.13,105.16853932584272,39483936
2024-11-22,PDYN,2.22,4.6,107.20720720720718,83072267
2024-11-18,BKKT,11.31,29.71,162.68788682581786,9712036
2024-11-18,BKKT.WS,0.1069,0.48,349.0177736202058,3442204
2024-11-13,ZVZZT,9.1,31.77,249.12087912087918,203495
2024-11-12,NA,3.3,7.7,133.33333333333334,1492768
2024-11-12,BTCT,4.72,10.5,122.45762711864407,128436910
2024-11-07,CELU,1.47,3.09,110.20408163265304,46674597
2024-11-07,ZVZZT,32.17,126.0,291.66925707180604,571321
2024-11-06,FOXO,5.413,15.574,187.7147607611306,47211121
2024-11-05,ZCAR,84.8,264.0,211.32075471698113,1670826
2024-11-05,ZVZZT,32.11,92.0,186.5151043288695,594513
2024-11-04,SPPL,2.6,9.44,263.0769230769231,50224841
2024-11-01,ZVZZT,12.16,33.0,171.3815789473684,109433
2024-11-01,VSTE,2.35,4.8,104.25531914893615,68538572
2024-10-31,ZVZZT,12.12,33.87,179.45544554455446,264313
2024-10-31,STEC,0.85,1.74,104.70588235294119,42613036
2024-10-30,ZVZZT,22.61,116.66,415.96638655462186,244069
2024-10-28,HRYU,0.24,0.5087,111.95833333333336,93047040
2024-10-25,BMTX.WS,0.098,0.45,359.1836734693877,9817131
2024-10-24,MNPR,5.12,32.66,537.8906249999999,19963354
2024-10-24,EFSH,11.925,25.425,113.20754716981132,4528764
2024-10-24,ZVZZT,25.2,70.49,179.7222222222222,56679
2024-10-21,GNPX,27.5,75.5,174.54545454545453,5798357
2024-10-18,ZVZZT,12.18,86.49,610.0985221674878,86633
2024-10-18,BIVI,11.3,23.5,107.9646017699115,5230065
2024-10-18,EFSH,12.45,39.45,216.8674698795181,3554892
